x_RIS_m,y_RIS_m,z_RIS_m,H_RIS,H_total,Pr_W,SNR_linear,SNR_dB,data_rate_bps,data_rate_Mbps
0.5,0.0,0.5,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.5,0.0,0.5766666666666667,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.5,0.0,0.6533333333333333,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.5,0.0,0.73,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.5,0.0,0.8066666666666666,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.5,0.0,0.8833333333333333,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.5,0.0,0.96,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.5,0.0,1.0366666666666666,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.5,0.0,1.1133333333333333,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.5,0.0,1.19,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.5,0.0,1.2666666666666666,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.5,0.0,1.3433333333333333,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.5,0.0,1.42,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.5,0.0,1.4966666666666666,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.5,0.0,1.5733333333333333,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.5,0.0,1.65,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.5,0.0,1.7266666666666666,2.4581761227151583e-08,2.4581761227151583e-08,2.4581761227151583e-08,0.016973747249455984,-17.70222269048951,485648.742180134,0.485648742180134
0.5,0.0,1.8033333333333332,2.4725709337340115e-08,2.4725709337340115e-08,2.4725709337340115e-08,0.017173122125770705,-17.65150741604885,491304.91481129755,0.49130491481129757
0.5,0.0,1.88,2.4503278410779183e-08,2.4503278410779183e-08,2.4503278410779183e-08,0.016865535239291258,-17.729998716237777,482578.3534444892,0.4825783534444892
0.5,0.0,1.9566666666666666,2.3936355606646096e-08,2.3936355606646096e-08,2.3936355606646096e-08,0.01609414077315441,-17.933322042805454,460681.47005016287,0.46068147005016286
0.5,0.0,2.033333333333333,2.3053055355448065e-08,2.3053055355448065e-08,2.3053055355448065e-08,0.014928244016707797,-18.259912745726858,427554.6337125838,0.4275546337125838
0.5,0.0,2.11,2.1886377683315292e-08,2.1886377683315292e-08,2.1886377683315292e-08,0.01345549000423691,-18.7110048205026,385654.56819780427,0.38565456819780425
0.5,0.0,2.1866666666666665,2.0472862152895085e-08,2.0472862152895085e-08,2.0472862152895085e-08,0.011773588800106264,-19.290911362632173,337729.69669174915,0.3377296966917491
0.5,0.0,2.263333333333333,1.8851292683154083e-08,1.8851292683154083e-08,1.8851292683154083e-08,0.009982378014350618,-20.007659882228403,286602.42641080933,0.28660242641080935
0.5,0.0,2.34,1.7061495023842236e-08,1.7061495023842236e-08,1.7061495023842236e-08,0.008176847663680988,-20.874140931662033,234974.57970974385,0.23497457970974384
0.5,0.0,2.4166666666666665,1.5143255862165645e-08,1.5143255862165645e-08,1.5143255862165645e-08,0.006441548184826029,-21.910097401990775,185267.72551038995,0.18526772551038995
0.5,0.0,2.493333333333333,1.3135381262554745e-08,1.3135381262554745e-08,1.3135381262554745e-08,0.004846599187237022,-23.14562894857156,139505.50104483744,0.13950550104483744
0.5,0.0,2.57,1.1074902805894911e-08,1.1074902805894911e-08,1.1074902805894911e-08,0.0034453360329749333,-24.62768413770959,99240.52370274712,0.09924052370274712
0.5,0.0,2.6466666666666665,8.9964324944904e-09,8.9964324944904e-09,8.9964324944904e-09,0.0022734865553683506,-26.43307609722168,65524.49923635213,0.06552449923635213
0.5,0.0,2.723333333333333,6.931662086393221e-09,6.931662086393221e-09,6.931662086393221e-09,0.001349666614373549,-28.697734947780802,38916.89011813833,0.038916890118138335
0.5,0.0,2.8,4.908998746256429e-09,4.908998746256429e-09,4.908998746256429e-09,0.0006769203675230886,-31.69462418433674,19525.18539352543,0.019525185393525428
0.6333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.6333333333333333,0.0,0.5766666666666667,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.6333333333333333,0.0,0.6533333333333333,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.6333333333333333,0.0,0.73,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.6333333333333333,0.0,0.8066666666666666,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.6333333333333333,0.0,0.8833333333333333,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.6333333333333333,0.0,0.96,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.6333333333333333,0.0,1.0366666666666666,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.6333333333333333,0.0,1.1133333333333333,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.6333333333333333,0.0,1.19,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.6333333333333333,0.0,1.2666666666666666,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.6333333333333333,0.0,1.3433333333333333,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.6333333333333333,0.0,1.42,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.6333333333333333,0.0,1.4966666666666666,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.6333333333333333,0.0,1.5733333333333333,0.0,0.0,0.0,0.0,-inf,0.0,0.0
