scenario,H_LoS,H_RIS,H_total,Pr_W,SNR_linear,SNR_dB,data_rate_bps,data_rate_Mbps,LoS_blocked
"Scenario 1: No obstacle, without RIS",7.93795139477907e-06,0.0,7.93795139477907e-06,7.93795139477907e-06,1769.9810221956286,32.479686098646866,215806660.73875427,215.80666073875426,False
"Scenario 2: Obstacle, without RIS",0.0,0.0,0.0,0.0,0.0,-inf,0.0,0.0,True
"Scenario 3: Obstacle, with RIS",0.0,6.589220849767975e-07,6.589220849767975e-07,6.589220849767975e-07,12.196068842231073,10.862198671296087,74440726.08562024,74.44072608562024,True
"Scenario 4: No obstacle, with RIS",7.93795139477907e-06,6.589220849767975e-07,8.596873479755868e-06,8.596873479755868e-06,2076.026102580458,33.172328097425996,220406072.63438696,220.40607263438696,False
